loan_amount,interest_rate,term_months,income,age,score,risk_levelLow,risk_levelMedium,risk_levelHigh
0.2314644306898117,0.3599587082862854,-0.9493035078048706,-0.851248025894165,1.0040372610092163,-1.0355298519134521,0,-0.08620883524417877,0
-0.5363349318504333,-1.0247045755386353,0.9411476850509644,-0.7506840229034424,-0.7609779238700867,-0.2631666362285614,0,0.010750820860266685,0
-0.96466064453125,-0.7228516340255737,1.1242849826812744,0.1399887502193451,-0.29576459527015686,-0.9139184951782227,0,-0.2292848825454712,0
-0.34678685665130615,-0.42167696356773376,-0.9109440445899963,0.19761726260185242,0.5876597762107849,-0.10276785492897034,0,0.010750820860266685,0
-0.03262750804424286,-0.22233615815639496,0.012267337180674076,0.1399974524974823,-0.7507864832878113,-0.1404920071363449,0,0.010750820860266685,0
-0.5363557934761047,-0.46471095085144043,-0.5140925049781799,1.0083376169204712,0.2833685576915741,0.4117355942726135,0,0.019907042384147644,0
-0.46449702978134155,-0.443081796169281,-0.49682170152664185,-1.0121971368789673,-0.22097593545913696,-1.185107707977295,0,0.009996825829148293,0
-0.37718328833580017,2.107485055923462,0.9318125247955322,0.8295435905456543,0.4487532377243042,0.9221549034118652,0,0.019488032907247543,0
-0.09409195184707642,-0.11752723157405853,-1.117026686668396,0.04972212389111519,0.9796851873397827,-0.9849250912666321,0,-0.2292848825454712,0
-0.5426636934280396,-0.5773403644561768,-0.5824733376502991,-0.24451924860477448,0.6319871544837952,0.5376229882240295,0,0.028102383017539978,0
-0.6373081803321838,-1.0804469585418701,1.0601365566253662,-1.206066370010376,-0.8945547938346863,-0.4836350679397583,0,0.012265197932720184,0
-0.23038990795612335,0.5563896298408508,0.08646111935377121,0.1926419883966446,1.161186695098877,-0.32656151056289673,0,0.02658800780773163,0
-1.0769317150115967,0.1983543336391449,-0.5040587186813354,-0.3005419373512268,0.1119852364063263,-2.0597219467163086,0,0.009996825829148293,0
0.30336856842041016,-1.3644201755523682,0.12428849190473557,0.09151901304721832,1.1605888605117798,-0.8766430020332336,0,0.007851110771298409,0
-0.0017028488218784332,-1.228614330291748,-0.7345903515815735,-1.214250087738037,-0.9953641891479492,-0.3848940432071686,0,0.004580946639180183,0
-0.003473535180091858,-0.9330889582633972,-0.6788214445114136,0.018077366054058075,0.18277600407600403,0.6454890370368958,0,0.003986888565123081,0
-0.6974372863769531,-0.5552921295166016,-0.5547260642051697,-0.7782545685768127,-0.16407504677772522,-0.8921936750411987,0,0.010750820860266685,0
0.6581670045852661,0.6360409259796143,-0.8735321760177612,-0.8867509961128235,-0.2547292709350586,-0.9717519879341125,0,-0.09271100163459778,0
-0.6198658347129822,-1.4316129684448242,-0.11904902756214142,0.4249769449234009,-0.8950145244598389,-0.17828159034252167,0,0.0041071027517318726,0
-0.35320013761520386,-0.5600075721740723,-0.4211999177932739,-0.014860812574625015,0.8566131591796875,-0.10123193264007568,0,0.02658800780773163,0
-0.6295487284660339,-0.19602805376052856,-0.8981421589851379,-0.028500083833932877,0.20477274060249329,-0.9107539653778076,0,0.028102383017539978,0
-1.0053479671478271,-0.4025387167930603,-0.23844966292381287,0.0828779935836792,-0.8417100310325623,-0.9966245293617249,0,-0.2292848825454712,0
-1.1223469972610474,0.6822067499160767,-0.28100574016571045,-1.0622262954711914,0.055069953203201294,-1.374476671218872,0,0.017407359555363655,0
-1.1353036165237427,0.15219075977802277,-0.5040587186813354,-0.3005419373512268,-0.13036589324474335,-1.8965685367584229,0,0.009996825829148293,0
-0.20470041036605835,-0.48993879556655884,-0.35739386081695557,0.17986361682415009,0.033513814210891724,-1.1740776300430298,0,-0.08620883524417877,0
-0.5265043377876282,-0.5299567580223083,-0.4945257902145386,-0.8316795825958252,-0.5352627635002136,-1.2377768754959106,0,0.009996825829148293,0
0.025604020804166794,-0.8236024379730225,-0.6584641337394714,-0.8629102110862732,-1.1822768449783325,-0.8905450105667114,0,0.0041071027517318726,0
-0.2074417620897293,-1.265134572982788,1.094035267829895,-1.1874675750732422,-0.831801176071167,0.010745462030172348,0,0.012265197932720184,0
-0.36133891344070435,-1.1643850803375244,-0.08935486525297165,-0.24073918163776398,-0.1752602458000183,-1.3228862285614014,0,0.0041071027517318726,0
-0.3683421313762665,1.201098918914795,-0.21520088613033295,-0.5305911898612976,-1.0351518392562866,-1.2393959760665894,0,0.01728714443743229,0
-0.6852752566337585,-1.2570748329162598,-0.538193941116333,0.9184606075286865,-0.9494727849960327,0.51395183801651,0,0.006187776103615761,0
-1.050912618637085,-0.66499924659729,-0.844332754611969,-0.7931458950042725,0.30932652950286865,-0.9760717153549194,0,0.010750820860266685,0
-0.7983900308609009,-0.6198450326919556,-0.8207907676696777,-0.8149963617324829,0.5008487105369568,-0.7295402884483337,0,0.010750820860266685,0
-0.2570139467716217,-1.6763678789138794,0.8847253918647766,0.7272043824195862,-0.1966768205165863,0.8780348300933838,0,0.006187776103615761,0
